PDB,Smile String,Molar Refractivity,Polarizability (10-24cm3),miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume,DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol),GPCR ligand ,Ion channel Modulator ,Kinase Inhibitor,Nuclear Receptor ligand ,Protease ligand,Enzyme inhibitor,
1jeu,NCCCCC(N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)O,101.7,40.3,-4.86,210.86,28,403.48,11,10,2,16,381.78,-38.9,11.3,50,0.533,0.352,0.099,0.166,0.799,0.472,
1jev,NCCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)O,127.6,50.6,-3.19,189.35,33,460.58,10,10,1,15,438.36,-39.2,29.3,68.2,0.625,0.418,0.28,0.115,0.744,0.46,
1k1i,OC(=O)[C@@H]1CCCCN1C(=O)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,135.3,53.6,0.38,153.65,36,508.6,9,5,1,8,442.46,-36.4,-20.6,15.8,0.528,0.047,-0.162,-0.201,0.972,0.291,
1k1j,COC(=O)[C@H]1CCN(CC1)C(=O)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,140.3,55.6,2.33,142.66,37,522.63,9,4,1,9,459.98,-43.6,-39.6,4,0.356,-0.061,-0.153,-0.209,0.802,0.093,
1k1l,O=C(N1CCNCC1)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,127.5,50.5,0.99,128.38,33,465.58,8,5,0,7,411.03,-40.8,-32.9,7.9,0.471,0.057,-0.01,-0.238,0.919,0.167,
1k1m,O=C(N1CCN(CC1)C(=O)C)[C@H](Cc1cccc(c1)C(=N)N)NS(=O)(=O)c1ccc2ccccc2c1,138.2,54.8,0.95,136.66,36,507.62,9,4,1,7,446.95,-42.6,-34.4,8.2,0.391,-0.054,-0.043,-0.233,0.808,0.12,
1k1n,COc1cc(C)c(c(C)c1C)S(=O)(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)C(=N)N)C(=O)N1CCCCC1,156.3,61.9,1.24,191.98,42,601.73,12,6,3,12,538.68,-38.3,-24.7,10.6,0.401,-0.483,-0.426,-0.219,0.806,-0.079,
1kzn,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(oc(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c3O)c2Cl)OC1(C)C,175.2,69.4,5.73,189.79,49,697.14,13,5,3,10,596.84,-51,-39.6,11.4,-0.639,-1.398,-1.097,-0.902,-0.493,-0.557,
1lzb,OC[C@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O)[C@@H](NC(=O)C)[C@H]2O)[C@@H](NC(=O)C)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(=O)C,139,55.1,-5.57,295.29,43,627.6,19,11,3,10,535.84,-29.29,-58.99,-29.71,-0.132,-0.604,-0.352,-0.306,0.216,0.011,
1nzl,O=CCN1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(cc1)OP(O)(O)O)C(=O)NC(C(C)CC)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)CC,none,none,-5.36,472.73,84,1228.19,30,16,3,34,1075.12,-40.58,-29.29,11.3,-3.801,-3.887,-3.879,-3.889,-3.69,-3.822,
