PDB,Smile String,miLogP,TPSA,natoms,MW,nOH,nOHNH,nviolations,nrotb,volume
1f3f,O=c1[nH]c(=O)n(cc1C)[C@@H]1C=C[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O1,-3.22,223.93,28,464.15,15,5,1,8,329.01
1b4s,O[C@H]1[C@@H](O)[C@H](CO[P@@](=O)(O)OP(=O)(O)O)O[C@@H]1n1cnc2c(N)ncnc12,-2.53,232.62,27,427.2,15,7,2,6,309.23
1lwx,[N-]=[N+]=N[C@H]1C[C@H](O[C@@H]1CO[P@@](=O)(O)OP(=O)(O)O)n1cc(C)c(=O)[nH]c1=O,-1.77,227.15,27,427.2,15,4,1,7,314.76
1b99,O=c1ccn([C@H]2C[C@@H](F)[C@H](CO[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,-2.88,177.4,24,390.15,12,4,1,6,278.24
1hiy,O[C@@H]1[C@H](N)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O[C@@H]1n1cnc2c(N)ncnc12,-3.98,238.41,27,426.22,15,8,2,6,312.5
1bux,OC1C(OP(=O)(O)O)C(COP(=O)(O)OS(=O)(=O)O)OC1n1cnc2c(N)ncnc12,-5.03,275.99,31,507.27,18,7,3,8,349.64
1ndp,O[C@H]1[C@@H](O)[C@H](CO[P@@](=O)(O)OP(=O)(O)O)O[C@@H]1n1cnc2c(N)ncnc12,-2.53,232.62,27,427.2,15,7,2,6,309.23
1kdn,O[C@H]1[C@@H](O)[C@H](CO[P@@](=O)(O)OP(=O)(O)O)O[C@@H]1n1cnc2c(N)ncnc12,-2.53,232.62,27,427.2,15,7,2,6,309.23
2bef,O[C@H]1[C@@H](O)[C@H](CO[P@@](=O)(O)OP(=O)(O)O)O[C@@H]1n1cnc2c(N)ncnc12,-2.53,232.62,27,427.2,15,7,2,6,309.23
1ndc,O[C@H]1C[C@H](O[C@@H]1CO[P@@](=O)(O)OP(=O)(O)O)n1cc(C)c(=O)[nH]c1=O,-3.11,197.62,25,402.19,13,5,1,6,297.89
1jet,NCCCCC(N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)O,-4.59,173.56,24,345.44,9,9,1,13,337.73
1b05,NCCCCC(N)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)O,-4.6,173.56,25,377.51,9,9,1,14,355.63
1b4z,NCCCCC(N)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)O,-4.97,210.86,27,389.45,11,10,2,15,364.97
1jeu,NCCCCC(N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)O,-4.86,210.86,28,403.48,11,10,2,16,381.78
1b40,NCCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,-3.34,173.56,30,421.54,9,9,1,15,409.38
1b3l,NCCCCC(N)C(=O)NCC(=O)NC(CCCCN)C(=O)O,-4.49,173.56,23,331.42,9,9,1,13,321.14
1b3f,NCCCCC(N)C(=O)NC(Cc1[nH]cnc1)C(=O)NC(CCCCN)C(=O)O,-4.75,202.25,29,411.51,11,10,2,15,390.21
1b3g,NCCCCC(N)C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)O,-3.52,173.56,27,387.52,9,9,1,15,387.92
2olb,NCCCCC(NC(=O)C(N)CCCCN)C(=O)NC(CCCCN)C(=O)O,-4.83,199.59,28,402.54,10,11,1,17,399.67
1b9j,NCCCCC(N)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)O,-3.49,173.56,27,387.52,9,9,1,15,387.92
1b32,NCCCCC(N)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)O,-4.3,173.56,27,405.56,9,9,1,16,389.46
1b5i,NCCCCC(N)C(=O)NC(CC(=O)N)C(=O)NC(CCCCN)C(=O)O,-4.65,216.66,27,388.47,11,11,2,15,368.25
1b46,NCCCCC(NC(=O)C1CCCN1C(=O)C(N)CCCCN)C(=O)O,-4.41,164.78,26,371.48,9,8,1,12,361.12
1b5j,NCCCCC(N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCCN)C(=O)O,-5.06,216.66,28,402.5,11,11,2,16,385.05
1qka,NCCCCC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)O,-5.01,235.47,30,430.55,12,13,2,18,417.57
1b51,NCCCCC(N)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)O,-5.02,193.79,25,361.44,10,10,1,14,345.99
1b52,NCCCCC(N)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)O,-4.88,193.79,26,375.47,10,10,1,14,362.58
1qkb,NCCCCC(N)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)O,-4.02,173.56,26,373.5,9,9,1,14,371.12
1jev,NCCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)O,-3.19,189.35,33,460.58,10,10,1,15,438.36
1b58,NCCCCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCCN)C(=O)O,-3.82,193.79,31,437.54,10,10,1,15,417.4
1tlg,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,-2.64,110.37,12,180.16,6,5,0,1,151.81
1odi,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,-0.85,139.55,19,267.25,9,5,0,2,218.53
1odj,OC[C@H]1O[C@@H]([C@H](O)[C@@H]1O)n1cnc2c(=O)[nH]c(N)nc12,-2.02,159.52,20,283.24,10,6,1,2,226.66
